ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE2-0313,Geschwister- Scholl- Gesamtschule Moers,Moers,Nordrhein-Westfalen,E10092995,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0314,Gymnasium Rheinkamp Europaschule Moers,Moers,Nordrhein-Westfalen,E10035658,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0315,Hermann-Runge-Gesamtschule,Moers,Nordrhein-Westfalen,E10200157,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0316,Comenius-Schule Städt. Gem. Hauptschule,Mönchengladbach,Nordrhein-Westfalen,E10166259,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0317,Gesamtschule Rheydt-Mülfort,Mönchengladbach,Nordrhein-Westfalen,E10279806,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0318,Gymnasium Am Geroweiher,Mönchengladbach,Nordrhein-Westfalen,E10160335,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0319,Gymnasium an der Gartenstraße,Mönchengladbach,Nordrhein-Westfalen,E10096175,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0320,Städt. Mathematisch-Naturwissenschaftliches,Mönchengladbach,Nordrhein-Westfalen,E10018047,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0321,Städt. Realschule Volksgarten,Mönchengladbach,Nordrhein-Westfalen,E10400730,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0322,Städtische Gesamtschule Hardt,Mönchengladbach,Nordrhein-Westfalen,E10057532,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0323,Otto Hahn Gymnasium Monheim am Rhein,Monheim am Rhein,Nordrhein-Westfalen,E10151873,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0324,Brüder Grimm Schule,Mülheim an der Ruhr,Nordrhein-Westfalen,E10128229,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0325,Primary School Grundschule am Dichterviertel,Mülheim an der Ruhr,Nordrhein-Westfalen,E10237620,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0326,Städtische Realschule Broich,Mülheim an der Ruhr,Nordrhein-Westfalen,E10037001,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0327,"Bodelschwinghschule, städtische evangelische",Münster,Nordrhein-Westfalen,E10049353,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0328,Freiherr-vom-Stein-Gymnasium Münster,Münster,Nordrhein-Westfalen,E10325118,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0329,Gesamtschule Münster-Mitte,Münster,Nordrhein-Westfalen,E10053816,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0330,Geschwister-Scholl-Gymnasium Münster,Münster,Nordrhein-Westfalen,E10325814,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0331,Gymnasium Paulinum,Münster,Nordrhein-Westfalen,E10371974,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0332,Ludgerusschule Hiltrup,Münster,Nordrhein-Westfalen,E10334242,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0333,"Marienschule Münster, Ersatzschule in",Münster,Nordrhein-Westfalen,E10091296,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0334,Mathilde Anneke Gesamtschule,Münster,Nordrhein-Westfalen,E10296239,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0335,Schillergymnasium Münster,Münster,Nordrhein-Westfalen,E10150214,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0336,Stadt Münster,Münster,Nordrhein-Westfalen,E10202371,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0337,Europaschule Marie-Curie-Gymnasium,Neuss,Nordrhein-Westfalen,E10229706,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0338,Gesamtschule Norf,Neuss,Nordrhein-Westfalen,E10233435,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0339,Janusz-Korczak-Gesamtschule,Neuss,Nordrhein-Westfalen,E10307234,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0340,Homburgisches Gymnasium Nuembrecht,Nümbrecht,Nordrhein-Westfalen,E10148031,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0341,Gesamtschule Osterfeld,Oberhausen,Nordrhein-Westfalen,E10371353,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0342,Gesamtschule Weierheide,Oberhausen,Nordrhein-Westfalen,E10207419,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0343,Heinrich - Heine - Gymnasium Oberhausen,Oberhausen,Nordrhein-Westfalen,E10077791,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0344,Heinrich-Böll-Gesamtschule Europaschule,Oberhausen,Nordrhein-Westfalen,E10207093,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0345,Städtische Realschule Ochtrup,Ochtrup,Nordrhein-Westfalen,E10185450,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0346,Thomas-Morus-Gymnasium Oelde,Oelde,Nordrhein-Westfalen,E10069014,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
